Country Name,"Country Code","Series Name","Series Code","2018Q1 [YR2018Q1]","2018Q2 [YR2018Q2]","2018Q3 [YR2018Q3]","2018Q4 [YR2018Q4]","2019Q1 [YR2019Q1]","2019Q2 [YR2019Q2]","2019Q3 [YR2019Q3]","2019Q4 [YR2019Q4]","2020Q1 [YR2020Q1]","2020Q2 [YR2020Q2]","2020Q3 [YR2020Q3]","2020Q4 [YR2020Q4]","2021Q1 [YR2021Q1]","2021Q2 [YR2021Q2]","2021Q3 [YR2021Q3]","2021Q4 [YR2021Q4]","2022Q1 [YR2022Q1]","2022Q2 [YR2022Q2]","2022Q3 [YR2022Q3]","2022Q4 [YR2022Q4]"
Albania,"ALB","Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$","DP.DOD.DSOA.CR.PS.CD","2060491.528","2228798.607","2924137.836","4811130","2390000","1940755.87334014","2963294.5389436","7538659.79381444","3031578.94752","3028391.1672","2905980","4115430.38476795","2068439.61490802","5577109.60232784","4265674.20555396","7584006.00713347","4017203.51390923","5787077.56960252","3029028.18679007","3204110.22886502"
Albania,"ALB","Gross PSD, Total, Short-term, Loans, Nominal Value, US$","DP.DOD.DSLO.CR.PS.CD","0","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$","DP.DOD.DSIN.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Albania,"ALB","Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$","DP.DOD.DSDS.CR.PS.CD","1326195107.34624","1300026876.31257","1292252555.70294","1272130072.2","1319463000","1227447116.72393","1177639212.17547","1192729197.34904","1117591831.63483","1261417187.92564","1256939540.595","1264459539.86513","1395987515.70732","1353056138.0183","1299129380.94939","1155779519.42932","1150399006.90891","1095806738.1451","1129003749.52406","1496375731.95541"
Albania,"ALB","Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$","DP.DOD.DSCD.CR.PS.CD","3979442410.9","3798714405.885","4116137797.26","4383857160","4564720000","4242789488.34618","4173169203.22292","4296759941.08984","3903713684.40571","5212302839.12975","5456288805","5478520428.40143","5433924316.08045","5377827352.08535","5454346788.81573","6157311807.77173","5980810761.347","5622080196.11276","5637501051.7459","6245343297.52452"
Albania,"ALB","Gross PSD, Total, Short-term, All instruments, Nominal Value, US$","DP.DOD.DSTC.CR.PS.CD","5307698009.77424","5100970080.80457","5411314490.79894","5660798362.2","5886573000","5472177360.94345","5353771709.93733","5497027798.2327","5024337094.98806","6476748418.22259","6716134325.595","6747095398.65133","6831980271.40268","6736460599.70598","6757741843.97067","7320675333.20818","7135226971.76982","6723674011.82746","6769533829.45675","7744923139.7088"
Argentina,"ARG","Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$","DP.DOD.DSOA.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Gross PSD, Total, Short-term, Loans, Nominal Value, US$","DP.DOD.DSLO.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$","DP.DOD.DSIN.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Argentina,"ARG","Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$","DP.DOD.DSDS.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
