"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","742597","","","","0"
"2010","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","756849","","","","0"
"2011","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","768470","","","","0"
"2012","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","768717","","","","0"
"2013","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","778221","","","","0"
"2014","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","779287","","","","0"
"2015","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","783999","","","","0"
"2016","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","757922","","","","0"
"2017","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","772903","","","","0"
"2018","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","788071","","","","0"
"2019","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","781509","","","","0"
"2020","Canada","2016A000011124","Total, industries and households","Kilotonnes","198","units","0","v79874995","1.1","700790","","","","0"
"2009","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","613955","","","","0"
"2010","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","629167","","","","0"
"2011","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","635845","","","","0"
"2012","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","640369","","","","0"
"2013","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","642982","","","","0"
"2014","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","646091","","","","0"
"2015","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","651501","","","","0"
"2016","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","627847","","","","0"
"2017","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","637788","","","","0"
"2018","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","647726","","","","0"
"2019","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","643907","","","","0"
"2020","Canada","2016A000011124","Total, industries","Kilotonnes","198","units","0","v79874996","1.2","578462","","","","0"
"2009","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","128642","","","","0"
"2010","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","127683","","","","0"
"2011","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","132625","","","","0"
"2012","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","128348","","","","0"
"2013","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","135240","","","","0"
"2014","Canada","2016A000011124","Total, households","Kilotonnes","198","units","0","v79875109","1.115","133196","","","","0"
