"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4174723","","","","0"
"2009-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3706629","","","","0"
"2009-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4082102","","","","0"
"2009-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3268823","","","","0"
"2009-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2754027","","","","0"
"2009-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2099416","","","","0"
"2009-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2100107","","","","0"
"2009-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2090623","","","","0"
"2009-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2368218","","","","0"
"2009-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3031030","","","","0"
"2009-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3532499","","","","0"
"2009-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4170523","","","","0"
"2010-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4578617","","","","0"
"2010-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4186964","","","","0"
"2010-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4277349","","","","0"
"2010-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3020566","","","","0"
"2010-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3098603","","","","0"
"2010-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2750914","","","","0"
"2010-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2734144","","","","0"
"2010-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2672683","","","","0"
"2010-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2347658","","","","0"
"2010-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2687392","","","","0"
"2010-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4039645","","","","0"
"2010-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4366539","","","","0"
"2011-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4532635","","","","0"
"2011-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4362632","","","","0"
"2011-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4483891","","","","0"
"2011-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3620003","","","","0"
"2011-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2810111","","","","0"
"2011-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2402302","","","","0"
"2011-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2503374","","","","0"
"2011-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2559293","","","","0"
"2011-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2474056","","","","0"
"2011-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3045872","","","","0"
"2011-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3829681","","","","0"
"2011-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4086384","","","","0"
"2012-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4532470","","","","0"
"2012-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4301875","","","","0"
"2012-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4298149","","","","0"
"2012-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3433214","","","","0"
"2012-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3194575","","","","0"
"2012-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3204432","","","","0"
"2012-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3096636","","","","0"
"2012-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2769332","","","","0"
"2012-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2765484","","","","0"
"2012-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2870901","","","","0"
"2012-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3983262","","","","0"
"2012-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4536116","","","","0"
"2013-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4860999","","","","0"
"2013-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4336105","","","","0"
"2013-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4441412","","","","0"
"2013-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3346047","","","","0"
"2013-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2971447","","","","0"
"2013-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2108901","","","","0"
"2013-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3058268","","","","0"
"2013-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2708784","","","","0"
