"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","28944.1","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30474.4","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31375.5","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","29977.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31486.3","","","","1"
"2014","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31143.3","","","","1"
"2015","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30806.0","","","","1"
"2016","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31282.0","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31674.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30771.7","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","31996.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464519","1.2.1","30483.3","","","","1"
"2009","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","4845.2","","","","1"
"2010","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","4948.2","","","","1"
"2011","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5043.5","","","","1"
"2012","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5090.7","","","","1"
"2013","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5187.4","","","","1"
"2014","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5205.6","","","","1"
"2015","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5280.7","","","","1"
"2016","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5393.8","","","","1"
"2017","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5635.9","","","","1"
"2018","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5731.6","","","","1"
"2019","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5994.9","","","","1"
"2020","Prince Edward Island","2016A000211","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62464824","2.2.1","5893.8","","","","1"
"2009","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","33814.4","","","","1"
"2010","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34697.1","","","","1"
"2011","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34805.2","","","","1"
"2012","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34477.9","","","","1"
"2013","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34383.8","","","","1"
"2014","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","34747.2","","","","1"
"2015","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35013.4","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35489.1","","","","1"
"2017","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36213.8","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36841.3","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","38087.2","","","","1"
"2020","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36734.3","","","","1"
