Site,Nest,Tree,DBH,Stage,Ht
Olympic,TopCavity,DouglasFir,70,5.0,7
Olympic,TopCavity,DouglasFir,119,2.0,9
Olympic,TopCavity,DouglasFir,162,6.0,10
Olympic,TopCavity,DouglasFir,79,5.0,11
Olympic,TopCavity,DouglasFir,92,5.0,15
Olympic,TopCavity,DouglasFir,68,4.0,16
Olympic,TopCavity,DouglasFir,139,3.0,26
Olympic,TopCavity,DouglasFir,129,3.0,29
Olympic,TopCavity,DouglasFir,122,2.0,31
Olympic,TopCavity,DouglasFir,109,2.0,35
Olympic,TopCavity,DouglasFir,96,2.0,35
Olympic,TopCavity,DouglasFir,90,2.0,35
Olympic,TopCavity,DouglasFir,114,2.0,38
Olympic,TopCavity,DouglasFir,80,3.0,39
Olympic,TopCavity,DouglasFir,125,2.0,41
Olympic,TopCavity,DouglasFir,180,5.0,42
Olympic,TopCavity,DouglasFir,89,3.0,43
Olympic,TopCavity,DouglasFir,204,1.0,44
Olympic,TopCavity,DouglasFir,183,3.0,46
Olympic,TopCavity,DouglasFir,174,2.0,50
Olympic,TopCavity,DouglasFir,158,2.0,50
Olympic,TopCavity,DouglasFir,116,2.0,52
Olympic,TopCavity,DouglasFir,183,2.0,54
Olympic,TopCavity,DouglasFir,199,2.0,55
Olympic,TopCavity,DouglasFir,86,2.0,56
Olympic,TopCavity,DouglasFir,136,2.0,68
Olympic,TopCavity,WesternHemlock,87,4.0,12
Olympic,TopCavity,WesternHemlock,104,5.0,16
Olympic,TopCavity,WesternHemlock,41,5.0,16
Olympic,TopCavity,WesternHemlock,59,5.0,19
Olympic,TopCavity,WesternHemlock,59,2.0,33
Olympic,TopCavity,WesternHemlock,59,2.0,34
Olympic,TopCavity,WesternHemlock,78,3.0,34
Olympic,TopCavity,WesternHemlock,89,2.0,35
Olympic,TopCavity,WesternHemlock,85,2.0,36
Olympic,TopCavity,WesternHemlock,115,2.0,40
Olympic,TopCavity,WesternHemlock,100,2.0,45
Olympic,TopCavity,WesternHemlock,105,2.0,49
Olympic,TopCavity,WesternHemlock,106,2.0,50
Olympic,TopCavity,WesternHemlock,125,2.0,51
Olympic,TopCavity,WesternRedCedar,62,4.0,21
Olympic,TopCavity,WesternRedCedar,196,2.0,39
Olympic,TopCavity,WesternRedCedar,203,2.0,42
Olympic,TopCavity,WesternRedCedar,155,2.0,42
Olympic,TopCavity,WesternRedCedar,218,2.0,48
Olympic,TopCavity,WesternRedCedar,162,2.0,48
Olympic,TopCavity,WesternRedCedar,108,2.0,48
Olympic,TopCavity,WesternRedCedar,215,2.0,52
Olympic,TopCavity,WesternRedCedar,232,1.0,65
Olympic,TopCavity,Other,78,4.0,15
Olympic,TopCavity,Other,101,2.0,25
Olympic,TopCavity,Other,151,2.0,36
Interior,TopCavity,DouglasFir,92,,21
Interior,TopCavity,DouglasFir,91,,14
Interior,TopCavity,DouglasFir,94,,8
Interior,TopCavity,WesternRedCedar,150,,33
Interior,TopCavity,Other,67,,36
CoastN,TopCavity,DouglasFir,142,2.0,44
CoastN,TopCavity,DouglasFir,163,3.0,13
CoastN,TopCavity,DouglasFir,120,2.0,24
CoastN,TopCavity,DouglasFir,168,2.0,61
CoastN,TopCavity,DouglasFir,197,2.0,54
CoastN,TopCavity,DouglasFir,190,2.0,62
CoastN,TopCavity,DouglasFir,177,2.0,60
CoastN,TopCavity,DouglasFir,132,2.0,53
CoastN,TopCavity,DouglasFir,179,2.0,64
CoastN,TopCavity,DouglasFir,189,2.0,65
CoastN,TopCavity,DouglasFir,137,2.0,44
CoastN,TopCavity,DouglasFir,138,2.0,27
CoastN,TopCavity,DouglasFir,131,2.0,41
CoastN,TopCavity,DouglasFir,132,2.0,33
CoastN,TopCavity,DouglasFir,107,2.0,28
CoastN,TopCavity,DouglasFir,149,2.0,52
CoastN,TopCavity,DouglasFir,121,2.0,42
CoastN,TopCavity,DouglasFir,196,2.0,59
CoastN,TopCavity,DouglasFir,109,2.0,45
CoastN,TopCavity,DouglasFir,180,2.0,37
CoastN,TopCavity,DouglasFir,136,2.0,44
CoastN,TopCavity,DouglasFir,171,2.0,57
CoastN,TopCavity,DouglasFir,135,2.0,42
CoastN,TopCavity,DouglasFir,94,2.0,37
CoastN,TopCavity,DouglasFir,142,2.0,53
CoastN,TopCavity,DouglasFir,135,2.0,24
CoastN,TopCavity,DouglasFir,151,2.0,54
CoastN,TopCavity,DouglasFir,127,2.0,44
CoastN,TopCavity,DouglasFir,213,2.0,47
CoastN,TopCavity,DouglasFir,148,2.0,25
CoastN,TopCavity,DouglasFir,91,2.0,54
CoastN,TopCavity,DouglasFir,102,2.0,38
CoastN,TopCavity,DouglasFir,188,2.0,40
CoastN,TopCavity,DouglasFir,137,2.0,52
CoastN,TopCavity,DouglasFir,144,2.0,38
CoastN,TopCavity,DouglasFir,143,2.0,58
CoastN,TopCavity,DouglasFir,117,2.0,46
CoastN,TopCavity,DouglasFir,150,2.0,47
CoastN,TopCavity,DouglasFir,171,2.0,50
CoastN,TopCavity,DouglasFir,113,2.0,40
CoastN,TopCavity,DouglasFir,109,2.0,42
CoastN,TopCavity,DouglasFir,142,2.0,45
CoastN,TopCavity,DouglasFir,99,2.0,23
CoastN,TopCavity,DouglasFir,153,2.0,40
CoastN,TopCavity,DouglasFir,170,2.0,51
CoastN,TopCavity,DouglasFir,130,2.0,33
CoastN,TopCavity,DouglasFir,159,2.0,35
