Income,Education,City,Age,Sex,Major
15000.0,Bachelor degree,Toronto,45-49,Male,BHASE
9000.0,Master degree,Toronto,55-59,Female,STEM
93000.0,Bachelor degree,Toronto,40-44,Male,BHASE
67000.0,Master degree,Toronto,25-29,Female,STEM
110000.0,Bachelor degree,Toronto,45-49,Female,STEM
42000.0,High school,Toronto,35-39,Male,NA
10000.0,High school,Toronto,60-64,Female,NA
13000.0,High school,Toronto,30-34,Female,NA
7000.0,Bachelor degree,Toronto,25-29,Female,BHASE
97000.0,Bachelor degree,Toronto,55-59,Female,BHASE
21000.0,Master degree,Toronto,50-54,Female,BHASE
19000.0,High school,Toronto,65-69,Female,NA
44000.0,Bachelor degree,Toronto,25-29,Female,BHASE
1000.0,High school,Toronto,70-74,Female,NA
150000.0,Bachelor degree,Toronto,40-44,Female,BHASE
41000.0,High school,Toronto,40-44,Female,NA
82000.0,Bachelor degree,Toronto,70-74,Male,STEM
57000.0,High school,Toronto,25-29,Female,NA
59000.0,High school,Toronto,50-54,Female,NA
65000.0,High school,Toronto,50-54,Male,NA
68000.0,Master degree,Toronto,35-39,Female,STEM
14000.0,High school,Toronto,60-64,Female,NA
37000.0,Bachelor degree,Toronto,25-29,Female,STEM
1056323.0,Bachelor degree,Toronto,40-44,Male,BHASE
110000.0,Bachelor degree,Toronto,50-54,Female,BHASE
49000.0,High school,Toronto,60-64,Male,NA
64000.0,Bachelor degree,Toronto,25-29,Male,BHASE
20000.0,Bachelor degree,Toronto,70-74,Male,STEM
83000.0,High school,Toronto,75-79,Male,NA
44000.0,Bachelor degree,Toronto,50-54,Female,BHASE
52000.0,Master degree,Toronto,25-29,Female,BHASE
11000.0,High school,Toronto,35-39,Female,NA
12000.0,High school,Toronto,70-74,Male,NA
210000.0,Bachelor degree,Toronto,50-54,Male,STEM
17000.0,High school,Toronto,80-84,Female,NA
66000.0,Bachelor degree,Toronto,55-59,Female,BHASE
1000.0,Master degree,Toronto,35-39,Female,BHASE
22000.0,Bachelor degree,Toronto,50-54,Female,BHASE
27000.0,Master degree,Toronto,35-39,Female,BHASE
44000.0,High school,Toronto,40-44,Male,NA
55000.0,Bachelor degree,Toronto,25-29,Female,BHASE
97000.0,High school,Toronto,55-59,Male,NA
42000.0,High school,Toronto,25-29,Female,NA
150000.0,Master degree,Toronto,50-54,Female,STEM
110000.0,Bachelor degree,Toronto,45-49,Female,STEM
200000.0,Bachelor degree,Toronto,65-69,Male,BHASE
41000.0,High school,Toronto,30-34,Male,NA
44000.0,Master degree,Toronto,55-59,Male,BHASE
1056323.0,Bachelor degree,Toronto,75-79,Male,STEM
39000.0,Bachelor degree,Toronto,40-44,Female,STEM
418101.0,Master degree,Toronto,50-54,Female,BHASE
34000.0,High school,Toronto,45-49,Female,NA
9000.0,Bachelor degree,Toronto,25-29,Male,STEM
3000.0,Bachelor degree,Toronto,25-29,Female,BHASE
1056323.0,Bachelor degree,Toronto,85+,Male,BHASE
12000.0,High school,Toronto,35-39,Female,NA
39000.0,High school,Toronto,60-64,Female,NA
32000.0,High school,Toronto,75-79,Male,NA
418101.0,High school,Toronto,85+,Female,NA
49000.0,Bachelor degree,Toronto,50-54,Male,STEM
64000.0,High school,Toronto,40-44,Male,NA
12000.0,High school,Toronto,30-34,Female,NA
88000.0,Bachelor degree,Toronto,40-44,Female,STEM
100000.0,Bachelor degree,Toronto,35-39,Female,STEM
18000.0,Bachelor degree,Toronto,65-69,Male,STEM
21000.0,High school,Toronto,40-44,Male,NA
48000.0,High school,Toronto,60-64,Female,NA
210000.0,Bachelor degree,Toronto,55-59,Male,BHASE
160000.0,Bachelor degree,Toronto,50-54,Female,BHASE
45000.0,Bachelor degree,Toronto,25-29,Male,BHASE
56000.0,High school,Toronto,65-69,Female,NA
73000.0,Bachelor degree,Toronto,35-39,Male,STEM
92000.0,Bachelor degree,Toronto,35-39,Male,STEM
67000.0,High school,Toronto,35-39,Male,NA
10000.0,Bachelor degree,Toronto,35-39,Female,STEM
87000.0,Master degree,Toronto,35-39,Male,STEM
36000.0,Bachelor degree,Toronto,35-39,Female,BHASE
3000.0,Bachelor degree,Toronto,50-54,Female,BHASE
24000.0,High school,Toronto,30-34,Male,NA
64000.0,High school,Toronto,60-64,Female,NA
12000.0,Bachelor degree,Toronto,25-29,Male,BHASE
43000.0,Doctoral degree,Toronto,40-44,Male,BHASE
160000.0,Bachelor degree,Toronto,70-74,Male,BHASE
66000.0,Bachelor degree,Toronto,45-49,Female,BHASE
42000.0,Bachelor degree,Toronto,30-34,Male,BHASE
16000.0,High school,Toronto,70-74,Female,NA
130000.0,Bachelor degree,Toronto,55-59,Female,BHASE
130000.0,Master degree,Toronto,55-59,Male,BHASE
110000.0,Master degree,Toronto,40-44,Female,BHASE
52000.0,High school,Toronto,50-54,Female,NA
29000.0,High school,Toronto,25-29,Male,NA
84000.0,Bachelor degree,Toronto,35-39,Male,STEM
15000.0,High school,Toronto,45-49,Female,NA
5000.0,High school,Toronto,30-34,Female,NA
