treatment,hornlength_mm
1,27
1,25
1,18
1,24
1,24
1,23
1,25
1,24
1,25
1,24
1,26
1,22
1,26
1,25
1,30
1,25
1,25
1,26
1,28
1,25
1,24
1,26
1,27
1,25
1,22
1,25
1,27
1,27
1,20
1,26
1,19
1,20
1,25
1,27
1,22
1,26
1,27
1,25
1,21
1,25
1,25
1,25
1,26
1,23
1,27
1,26
1,26
1,17
1,27
1,21
1,21
1,23
1,22
1,26
1,22
1,25
1,23
1,17
1,31
1,13
1,28
1,27
1,15
1,26
1,25
1,24
1,26
1,25
1,25
1,23
1,20
1,29
1,26
1,21
1,24
1,21
1,24
1,21
1,18
1,21
1,28
1,27
1,21
1,25
1,26
1,23
1,27
1,28
1,22
1,25
1,23
1,25
1,23
1,24
1,22
1,23
1,27
1,23
1,23
1,25
1,28
1,24
1,25
1,19
1,27
1,29
1,25
1,25
1,23
1,23
1,27
1,27
1,24
1,22
1,24
1,28
1,27
1,27
1,24
1,23
1,26
1,22
1,25
1,27
1,23
1,28
1,22
1,27
1,24
1,25
1,14
1,27
1,25
1,23
1,26
1,24
1,27
1,24
1,29
1,24
1,26
1,26
1,26
1,16
1,16
1,28
1,27
1,20
1,25
1,25
1,23
1,26
1,29
1,25
2,23
2,24
2,22
2,23
2,18
2,24
2,23
2,26
2,15
2,23
2,23
2,24
2,19
2,25
2,26
2,23
2,21
2,15
2,16
2,21
2,21
2,23
2,25
2,17
2,27
2,25
2,20
2,20
2,22
2,25
